Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C5",C1206,6,10uF,C13585
C17,C0402,1,100nF,C307331
"C2, C3, C4",C0603,3,470nF,C1623
C24,C1206,1,22uF,C12891
"D1, D2, D3, D4",SOD-323_L1.8-W1.3-LS2.5-RD,4,1N5819WS,C191023
J1,SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm,1,VOUT_VS1,
J2,SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm,1,VOUT_VS2,
J3,SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm,1,VOUT_VS3,
J4,SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm,1,HV_IN,
J5,SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm,1,GND,
J6,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L2,IND-SMD_L5.0-W5.0,1,100uH,C88132
LED1,LED0805-R-RD,1,FC-2012HRK-620D,C84256
"Q1, Q2, Q3",DFN-8_L5.5-W5.2-P1.27-LS6.0-BL-EP2,3,SE3082G,C238670
R1,R0402,1,510R,C25123
"R10, R3, R6, R7, R8, R9",R0402,6,22R,C25152
R4,R0402,1,8.2kR,C25924
R5,R0402,1,1kR,C11702
U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,FD6288Q_C328453,C328453
U7,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-ADJE1,C74192
