Designator,Mid X,Mid Y,Rotation,Layer
C10,165.59,-96.8,180.0,top
C11,165.59,-94.4,180.0,top
C12,165.59,-92.0,180.0,top
C13,165.59,-89.6,180.0,top
C14,165.59,-87.2,180.0,top
C17,164.45,-98.6,180.0,top
C2,147.0,-96.7,90.0,top
C24,153.66,-108.59,180.0,top
C3,154.0,-96.7,90.0,top
C4,161.0,-96.505,90.0,top
C5,148.16,-113.5,180.0,top
D1,159.75,-105.5,180.0,top
D2,144.75,-99.0,180.0,top
D3,151.25,-99.2,180.0,top
D4,158.25,-99.2,180.0,top
J6,141.25,-99.38,0.0,top
J7,141.225,-115.75,90.0,top
L2,154.075,-112.29,0.0,top
LED1,147.95,-111.0,0.0,top
Q1,143.0,-92.0,0.0,top
Q2,150.0,-92.0,0.0,top
Q3,157.0,-92.0,0.0,top
R1,149.57,-108.75,180.0,top
R10,156.2,-95.83,90.0,top
R3,159.0,-95.83,90.0,top
R4,154.93,-106.75,0.0,top
R5,157.04,-106.75,0.0,top
R6,152.0,-95.83,90.0,top
R7,145.0,-95.83,90.0,top
R8,149.2,-95.83,90.0,top
R9,142.2,-95.83,270.0,top
U1,154.0,-103.41,0.0,top
U7,160.21,-111.2575,180.0,top
